LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
1,3,3,3,3,5,5,5,4,4,1000,43,5,1,F,18 to 25,4.333333333,0.4848484848,0.8333333333,0.6590909091,1,1,1
1,3,3,3,5,5,5,5,5,5,1000,45,5,2,F,18 to 25,5,0.5454545455,1,0.7727272727,1,1,1
1,3,3,3,1,3,5,5,5,4,1000,45,3,3,M,18 to 25,3.833333333,0.5454545455,0.7083333333,0.6268939394,1,1,1
1,3,3,3,5,4,4,5,4,5,1000,46,3,4,F,12 to 17,4.5,0.5757575758,0.875,0.7253787879,1,1,1
1,3,3,3,3,5,5,5,3,4,1000,46,4,5,M,18 to 25,4.166666667,0.5757575758,0.7916666667,0.6837121212,1,1,1
1,3,3,3,1,2,3,5,2,3,1000,33,4,6,F,18 to 25,2.666666667,0.1818181818,0.4166666667,0.2992424242,1,1,1
1,3,3,3,1,3,3,5,4,4,1000,44,4,7,F,18 to 25,3.333333333,0.5151515152,0.5833333333,0.5492424242,1,1,1
1,3,3,3,5,5,4,5,5,5,1000,43,3,8,M,12 to 17,4.833333333,0.4848484848,0.9583333333,0.7215909091,1,1,1
1,3,3,3,5,5,5,5,5,5,323,44,5,9,F,18 to 25,5,0.5151515152,1,0.7575757576,1,1,1
2,3,3,2,2,5,5,3,3,4,1000,44,5,1,F,18 to 25,3.666666667,0.5151515152,0.6666666667,0.5909090909,1,1,0.5
2,3,3,2,5,5,5,5,5,5,1000,47,5,2,F,18 to 25,5,0.6060606061,1,0.803030303,1,1,0.5
2,3,3,2,4,4,5,5,5,4,1000,44,3,3,M,18 to 25,4.5,0.5151515152,0.875,0.6950757576,1,1,0.5
2,3,3,2,5,4,3,4,4,4,979,44,3,4,F,12 to 17,4,0.5151515152,0.75,0.6325757576,1,1,0.5
2,3,3,2,2,3,4,4,3,3,1000,46,4,5,M,18 to 25,3.166666667,0.5757575758,0.5416666667,0.5587121212,1,1,0.5
2,3,3,2,1,3,3,4,3,3,1000,43,4,6,F,18 to 25,2.833333333,0.4848484848,0.4583333333,0.4715909091,1,1,0.5
2,3,3,2,1,3,3,5,4,4,1000,45,4,7,F,18 to 25,3.333333333,0.5454545455,0.5833333333,0.5643939394,1,1,0.5
2,3,3,2,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,5,0.4848484848,1,0.7424242424,1,1,0.5
2,3,3,2,4,5,5,5,5,5,864,46,5,9,F,18 to 25,4.833333333,0.5757575758,0.9583333333,0.7670454545,1,1,0.5
3,2,2,1,2,5,5,4,3,4,1000,44,5,1,F,18 to 25,3.833333333,0.5151515152,0.7083333333,0.6117424242,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,1000,46,5,2,F,18 to 25,5,0.5757575758,1,0.7878787879,0.5,0.5,0
3,2,2,1,4,4,4,5,5,4,1000,46,3,3,M,18 to 25,4.333333333,0.5757575758,0.8333333333,0.7045454545,0.5,0.5,0
3,2,2,1,1,2,3,1,1,1,323,41,3,4,F,12 to 17,1.5,0.4242424242,0.125,0.2746212121,0.5,0.5,0
3,2,2,1,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,4.666666667,0.5151515152,0.9166666667,0.7159090909,0.5,0.5,0
3,2,2,1,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,3.166666667,0.4242424242,0.5416666667,0.4829545455,0.5,0.5,0
3,2,2,1,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,3.666666667,0.4848484848,0.6666666667,0.5757575758,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,0.7727272727,0.5,0.5,0
3,2,2,1,4,5,5,5,5,5,324,45,5,9,F,18 to 25,4.833333333,0.5454545455,0.9583333333,0.7518939394,0.5,0.5,0
4,1,1,2,1,5,5,2,3,3,1000,56,5,1,F,18 to 25,3.166666667,0.8787878788,0.5416666667,0.7102272727,0,0,0.5
4,1,1,2,5,4,4,5,5,5,1000,53,5,2,F,18 to 25,4.666666667,0.7878787879,0.9166666667,0.8522727273,0,0,0.5
4,1,1,2,1,4,4,4,5,4,1000,53,3,3,M,18 to 25,3.666666667,0.7878787879,0.6666666667,0.7272727273,0,0,0.5
4,1,1,2,2,3,3,4,3,4,1000,51,3,4,F,12 to 17,3.166666667,0.7272727273,0.5416666667,0.634469697,0,0,0.5
4,1,1,2,1,2,2,2,2,2,1000,57,4,5,M,18 to 25,1.833333333,0.9090909091,0.2083333333,0.5587121212,0,0,0.5
4,1,1,2,1,3,3,3,3,3,1000,48,4,6,F,18 to 25,2.666666667,0.6363636364,0.4166666667,0.5265151515,0,0,0.5
4,1,1,2,1,3,3,5,4,4,1000,52,4,7,F,18 to 25,3.333333333,0.7575757576,0.5833333333,0.6704545455,0,0,0.5
4,1,1,2,3,4,5,5,5,5,1000,53,3,8,M,12 to 17,4.5,0.7878787879,0.875,0.8314393939,0,0,0.5
4,1,1,2,1,5,5,5,5,5,398,59,5,9,F,18 to 25,4.333333333,0.9696969697,0.8333333333,0.9015151515,0,0,0.5
5,3,2,1,5,5,1,5,5,5,1000,44,5,1,F,18 to 25,4.333333333,0.5151515152,0.8333333333,0.6742424242,1,0.5,0
5,3,2,1,4,5,5,4,5,5,1000,43,5,2,F,18 to 25,4.666666667,0.4848484848,0.9166666667,0.7007575758,1,0.5,0
5,3,2,1,3,5,4,4,5,4,1000,43,3,3,M,18 to 25,4.166666667,0.4848484848,0.7916666667,0.6382575758,1,0.5,0
5,3,2,1,5,4,3,4,4,5,1000,44,3,4,F,12 to 17,4.166666667,0.5151515152,0.7916666667,0.6534090909,1,0.5,0
5,3,2,1,3,2,1,1,2,1,1000,44,4,5,M,18 to 25,1.666666667,0.5151515152,0.1666666667,0.3409090909,1,0.5,0
5,3,2,1,3,2,2,3,2,2,1000,41,4,6,F,18 to 25,2.333333333,0.4242424242,0.3333333333,0.3787878788,1,0.5,0
5,3,2,1,2,3,3,5,4,4,1000,46,4,7,F,18 to 25,3.5,0.5757575758,0.625,0.6003787879,1,0.5,0
5,3,2,1,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,0.7727272727,1,0.5,0
5,3,2,1,3,5,5,5,5,5,336,46,5,9,F,18 to 25,4.666666667,0.5757575758,0.9166666667,0.7462121212,1,0.5,0
6,1,2,3,2,5,3,4,3,3,1000,44,5,1,F,18 to 25,3.333333333,0.5151515152,0.5833333333,0.5492424242,0,0.5,1
6,1,2,3,3,4,5,3,5,4,1000,43,5,2,F,18 to 25,4,0.4848484848,0.75,0.6174242424,0,0.5,1
6,1,2,3,1,3,4,5,5,4,1000,43,3,3,M,18 to 25,3.666666667,0.4848484848,0.6666666667,0.5757575758,0,0.5,1
6,1,2,3,2,4,3,4,4,4,1000,44,3,4,F,12 to 17,3.5,0.5151515152,0.625,0.5700757576,0,0.5,1
6,1,2,3,1,3,3,3,2,2,1000,45,4,5,M,18 to 25,2.333333333,0.5454545455,0.3333333333,0.4393939394,0,0.5,1
6,1,2,3,1,3,4,3,2,3,858,44,4,6,F,18 to 25,2.666666667,0.5151515152,0.4166666667,0.4659090909,0,0.5,1
6,1,2,3,1,3,3,5,4,4,1000,42,4,7,F,18 to 25,3.333333333,0.4545454545,0.5833333333,0.5189393939,0,0.5,1
6,1,2,3,3,5,5,5,5,5,1000,44,3,8,M,12 to 17,4.666666667,0.5151515152,0.9166666667,0.7159090909,0,0.5,1
6,1,2,3,1,5,5,5,5,5,724,45,5,9,F,18 to 25,4.333333333,0.5454545455,0.8333333333,0.6893939394,0,0.5,1
7,1,1,3,1,5,5,3,3,4,1000,57,5,1,F,18 to 25,3.5,0.9090909091,0.625,0.7670454545,0,0,1
7,1,1,3,3,4,5,4,5,4,1000,53,5,2,F,18 to 25,4.166666667,0.7878787879,0.7916666667,0.7897727273,0,0,1
7,1,1,3,1,5,5,5,5,5,1000,53,3,3,M,18 to 25,4.333333333,0.7878787879,0.8333333333,0.8106060606,0,0,1
7,1,1,3,2,4,4,4,4,4,1000,51,3,4,F,12 to 17,3.666666667,0.7272727273,0.6666666667,0.696969697,0,0,1
7,1,1,3,1,2,1,1,1,1,1000,53,4,5,M,18 to 25,1.166666667,0.7878787879,0.04166666667,0.4147727273,0,0,1
7,1,1,3,1,2,3,3,3,3,1000,56,4,6,F,18 to 25,2.5,0.8787878788,0.375,0.6268939394,0,0,1
7,1,1,3,1,3,3,5,4,4,1000,53,4,7,F,18 to 25,3.333333333,0.7878787879,0.5833333333,0.6856060606,0,0,1
7,1,1,3,3,4,5,5,5,5,1000,52,3,8,M,12 to 17,4.5,0.7575757576,0.875,0.8162878788,0,0,1
7,1,1,3,1,5,5,5,5,5,998,60,5,9,F,18 to 25,4.333333333,1,0.8333333333,0.9166666667,0,0,1
8,1,2,2,1,5,5,4,4,3,1000,47,5,1,F,18 to 25,3.666666667,0.6060606061,0.6666666667,0.6363636364,0,0.5,0.5
8,1,2,2,1,5,4,5,4,4,464,45,5,2,F,18 to 25,3.833333333,0.5454545455,0.7083333333,0.6268939394,0,0.5,0.5
8,1,2,2,1,3,3,4,5,4,1000,42,3,3,M,18 to 25,3.333333333,0.4545454545,0.5833333333,0.5189393939,0,0.5,0.5
8,1,2,2,2,4,4,4,4,4,1000,43,3,4,F,12 to 17,3.666666667,0.4848484848,0.6666666667,0.5757575758,0,0.5,0.5
8,1,2,2,1,5,5,4,4,4,1000,42,4,5,M,18 to 25,3.833333333,0.4545454545,0.7083333333,0.5814393939,0,0.5,0.5
8,1,2,2,1,4,3,3,3,3,1000,44,4,6,F,18 to 25,2.833333333,0.5151515152,0.4583333333,0.4867424242,0,0.5,0.5
8,1,2,2,1,3,3,5,4,4,1000,35,4,7,F,18 to 25,3.333333333,0.2424242424,0.5833333333,0.4128787879,0,0.5,0.5
8,1,2,2,3,4,5,5,5,5,1000,43,3,8,M,12 to 17,4.5,0.4848484848,0.875,0.6799242424,0,0.5,0.5
8,1,2,2,1,5,5,5,5,5,1000,44,5,9,F,18 to 25,4.333333333,0.5151515152,0.8333333333,0.6742424242,0,0.5,0.5
9,2,3,3,5,4,5,5,5,5,1000,46,5,1,F,18 to 25,4.833333333,0.5757575758,0.9583333333,0.7670454545,0.5,1,1
9,2,3,3,5,5,5,5,5,1,1000,47,5,2,F,18 to 25,4.333333333,0.6060606061,0.8333333333,0.7196969697,0.5,1,1
9,2,3,3,4,4,4,5,5,4,1000,40,3,3,M,18 to 25,4.333333333,0.3939393939,0.8333333333,0.6136363636,0.5,1,1
9,2,3,3,1,2,3,2,1,1,1000,44,3,4,F,12 to 17,1.666666667,0.5151515152,0.1666666667,0.3409090909,0.5,1,1
