LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
1,3,3,3,9,3,5,5,5,4,4,1000,43,5,1,F,18 to 25,4.18864816,0.4848484848,0.79716204,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,45,5,2,F,18 to 25,5,0.5454545455,1,,,,
1,3,3,3,9,1,3,5,5,5,4,1000,45,3,3,M,18 to 25,4.17340008,0.5454545455,0.79335002,,,,
1,3,3,3,9,5,4,4,5,4,5,1000,46,3,4,F,12 to 17,4.32936844,0.5757575758,0.83234211,,,,
1,3,3,3,9,3,5,5,5,3,4,1000,46,4,5,M,18 to 25,3.72873092,0.5757575758,0.68218273,,,,
1,3,3,3,9,1,2,3,5,2,3,1000,33,4,6,F,18 to 25,2.40403977,0.1818181818,0.3510099425,,,,
1,3,3,3,9,1,3,3,5,4,4,1000,44,4,7,F,18 to 25,3.47587554,0.5151515152,0.618968885,,,,
1,3,3,3,9,5,5,4,5,5,5,1000,43,3,8,M,12 to 17,4.88119635,0.4848484848,0.9702990875,,,,
1,3,3,3,9,5,5,5,5,5,5,323,44,5,9,F,18 to 25,5,0.5151515152,1,,,,
1,3,3,3,9,4,3,3,5,4,4,1000,42,4,10,F,12 to 17,3.91289151,0.4545454545,0.7282228775,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,49,2,11,M,18 to 25,5,0.6666666667,1,,,,
1,3,3,3,9,3,3,4,3,3,3,1000,42,4,12,M,18 to 25,3.11880365,0.4545454545,0.5297009125,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.4545454545,1,,,,
1,3,3,3,9,4,4,5,4,5,4,1000,45,5,14,F,18 to 25,4.57872089,0.5454545455,0.8946802225,,,,
1,3,3,3,9,5,5,5,5,4,5,1000,41,3,15,F,18 to 25,4.54008276,0.4242424242,0.88502069,,,,
1,3,3,3,9,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,4.4916124,0.3636363636,0.8729031,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,39,3,17,M,18 to 25,5,0.3636363636,1,,,,
1,3,3,3,9,4,4,3,4,3,3,1000,39,3,18,F,18 to 25,3.36118849,0.3636363636,0.5902971225,,,,
1,3,3,3,9,5,4,4,5,5,5,369,42,2,19,F,18 to 25,4.78928568,0.4545454545,0.94732142,,,,
1,3,3,3,9,5,5,4,5,4,5,1000,44,1,20,F,18 to 25,4.42127911,0.5151515152,0.8553197775,,,,
1,3,3,3,9,4,4,5,4,5,4,1000,51,3,21,F,18 to 25,4.57872089,0.7272727273,0.8946802225,,,,
1,3,3,3,9,2,4,5,5,4,3,1000,42,3,22,M,12 to 17,3.89097488,0.4545454545,0.72274372,,,,
1,3,3,3,9,3,5,5,4,4,4,1000,44,4,23,F,12 to 17,4.06504233,0.5151515152,0.7662605825,,,,
1,3,3,3,9,2,2,4,3,4,3,1000,46,4,24,F,18 to 25,3.34113823,0.5757575758,0.5852845575,,,,
2,3,3,2,8,2,5,5,3,3,4,1000,44,5,1,F,18 to 25,3.33584727,0.5151515152,0.5839618175,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,47,5,2,F,18 to 25,5,0.6060606061,1,,,,
2,3,3,2,8,4,4,5,5,5,4,1000,44,3,3,M,18 to 25,4.70232672,0.5151515152,0.92558168,,,,
2,3,3,2,8,5,4,3,4,4,4,979,44,3,4,F,12 to 17,4.02686834,0.5151515152,0.756717085,,,,
2,3,3,2,8,2,3,4,4,3,3,1000,46,4,5,M,18 to 25,3.09673749,0.5757575758,0.5241843725,,,,
2,3,3,2,8,1,3,3,4,3,3,1000,43,4,6,F,18 to 25,2.83226185,0.4848484848,0.4580654625,,,,
2,3,3,2,8,1,3,3,5,4,4,1000,45,4,7,F,18 to 25,3.47587554,0.5454545455,0.618968885,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,5,0.4848484848,1,,,,
2,3,3,2,8,4,5,5,5,5,5,864,46,5,9,F,18 to 25,4.85432801,0.5757575758,0.9635820025,,,,
2,3,3,2,8,3,3,4,4,4,4,1000,42,4,10,F,12 to 17,3.76241734,0.4545454545,0.690604335,,,,
2,3,3,2,8,4,5,5,4,5,5,1000,43,2,11,M,18 to 25,4.73072218,0.4848484848,0.932680545,,,,
2,3,3,2,8,3,3,3,2,3,3,1000,41,4,12,M,18 to 25,2.87639417,0.4242424242,0.4690985425,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,41,5,13,M,18 to 25,5,0.4242424242,1,,,,
2,3,3,2,8,4,5,4,5,5,5,1000,43,5,14,F,18 to 25,4.73552436,0.4848484848,0.93388109,,,,
2,3,3,2,8,5,5,4,5,5,5,1000,42,3,15,F,18 to 25,4.88119635,0.4545454545,0.9702990875,,,,
2,3,3,2,8,5,4,4,5,4,4,1000,35,4,16,F,18 to 25,4.26927782,0.2424242424,0.817319455,,,,
2,3,3,2,8,5,5,4,5,5,5,1000,38,3,17,M,18 to 25,4.88119635,0.3333333333,0.9702990875,,,,
2,3,3,2,8,3,4,4,4,4,4,1000,32,3,18,F,18 to 25,3.85432801,0.1515151515,0.7135820025,,,,
2,3,3,2,8,5,5,5,5,4,5,361,41,2,19,F,18 to 25,4.54008276,0.4242424242,0.88502069,,,,
2,3,3,2,8,5,4,4,5,4,5,820,44,1,20,F,18 to 25,4.32936844,0.5151515152,0.83234211,,,,
2,3,3,2,8,4,4,5,4,5,4,1000,43,3,21,F,18 to 25,4.57872089,0.4848484848,0.8946802225,,,,
2,3,3,2,8,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,3.65336758,0.5151515152,0.663341895,,,,
2,3,3,2,8,4,3,3,4,3,4,800,44,4,23,F,12 to 17,3.32936844,0.5151515152,0.58234211,,,,
2,3,3,2,8,2,3,3,3,5,3,1000,40,4,24,F,18 to 25,3.77416249,0.3939393939,0.6935406225,,,,
3,2,2,1,5,2,5,5,4,3,4,1000,44,5,1,F,18 to 25,3.4594531,0.5151515152,0.614863275,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,46,5,2,F,18 to 25,5,0.5757575758,1,,,,
3,2,2,1,5,4,4,4,5,5,4,1000,46,3,3,M,18 to 25,4.58352307,0.5757575758,0.8958807675,,,,
3,2,2,1,5,1,2,3,1,1,1,323,41,3,4,F,12 to 17,1.32951797,0.4242424242,0.0823794925,,,,
3,2,2,1,5,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,4.39441077,0.5151515152,0.8486026925,,,,
3,2,2,1,5,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,3.12360583,0.4242424242,0.5309014575,,,,
3,2,2,1,5,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,3.76721952,0.4848484848,0.69180488,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,,,,
3,2,2,1,5,4,5,5,5,5,5,324,45,5,9,F,18 to 25,4.85432801,0.5454545455,0.9635820025,,,,
3,2,2,1,5,5,4,3,4,5,4,1000,42,4,10,F,12 to 17,4.48678558,0.4545454545,0.871696395,,,,
3,2,2,1,5,5,4,4,5,4,5,1000,44,2,11,M,18 to 25,4.32936844,0.5151515152,0.83234211,,,,
3,2,2,1,5,4,4,3,2,3,3,1000,43,4,12,M,18 to 25,3.11397683,0.4848484848,0.5284942075,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,37,5,13,M,18 to 25,5,0.303030303,1,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.78928568,0.4545454545,0.94732142,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,41,3,15,F,18 to 25,4.78928568,0.4242424242,0.94732142,,,,
