LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,0.5NAVGFPS+0.5PE,NAVGFPSPE,NAA,NAG,NAP
1,3,3,3,9,3,5,5,5,4,4,1000,43,5,1,F,18 to 25,4.18864816,0.4848484848,0.79716204,0.6410052624,0.552810187,1,1,1
1,3,3,3,9,5,5,5,5,5,5,1000,45,5,2,F,18 to 25,5,0.5454545455,1,0.7727272727,0.7337025407,1,1,1
1,3,3,3,9,1,3,5,5,5,4,1000,45,3,3,M,18 to 25,4.17340008,0.5454545455,0.79335002,0.6694022827,0.5918074953,1,1,1
1,3,3,3,9,5,4,4,5,4,5,1000,46,3,4,F,12 to 17,4.32936844,0.5757575758,0.83234211,0.7040498429,0.6393885995,1,1,1
1,3,3,3,9,3,5,5,5,3,4,1000,46,4,5,M,18 to 25,3.72873092,0.5757575758,0.68218273,0.6289701529,0.5362825066,1,1,1
1,3,3,3,9,1,2,3,5,2,3,1000,33,4,6,F,18 to 25,2.40403977,0.1818181818,0.3510099425,0.2664140622,0.03838830927,1,1,1
1,3,3,3,9,1,3,3,5,4,4,1000,44,4,7,F,18 to 25,3.47587554,0.5151515152,0.618968885,0.5670602001,0.4512622654,1,1,1
1,3,3,3,9,5,5,4,5,5,5,1000,43,3,8,M,12 to 17,4.88119635,0.4848484848,0.9702990875,0.7275737862,0.671693766,1,1,1
1,3,3,3,9,5,5,5,5,5,5,323,44,5,9,F,18 to 25,5,0.5151515152,1,0.7575757576,0.7128951355,1,1,1
1,3,3,3,9,4,3,3,5,4,4,1000,42,4,10,F,12 to 17,3.91289151,0.4545454545,0.7282228775,0.591384166,0.484666094,1,1,1
1,3,3,3,9,5,5,5,5,5,5,1000,49,2,11,M,18 to 25,5,0.6666666667,1,0.8333333333,0.8169321613,1,1,1
1,3,3,3,9,3,3,4,3,3,3,1000,42,4,12,M,18 to 25,3.11880365,0.4545454545,0.5297009125,0.4921231835,0.3483521043,1,1,1
1,3,3,3,9,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.4545454545,1,0.7272727273,0.6712803252,1,1,1
1,3,3,3,9,4,4,5,4,5,4,1000,45,5,14,F,18 to 25,4.57872089,0.5454545455,0.8946802225,0.720067384,0.6613853084,1,1,1
1,3,3,3,9,5,5,5,5,4,5,1000,41,3,15,F,18 to 25,4.54008276,0.4242424242,0.88502069,0.6546315571,0.5715230241,1,1,1
1,3,3,3,9,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,4.4916124,0.3636363636,0.8729031,0.6182697318,0.5215877388,1,1,1
1,3,3,3,9,5,5,5,5,5,5,1000,39,3,17,M,18 to 25,5,0.3636363636,1,0.6818181818,0.6088581097,1,1,1
1,3,3,3,9,4,4,3,4,3,3,1000,39,3,18,F,18 to 25,3.36118849,0.3636363636,0.5902971225,0.4769667431,0.3275379353,1,1,1
1,3,3,3,9,5,4,4,5,5,5,369,42,2,19,F,18 to 25,4.78928568,0.4545454545,0.94732142,0.7009334373,0.6351088748,1,1,1
1,3,3,3,9,5,5,4,5,4,5,1000,44,1,20,F,18 to 25,4.42127911,0.5151515152,0.8553197775,0.6852356463,0.6135512752,1,1,1
1,3,3,3,9,4,4,5,4,5,4,1000,51,3,21,F,18 to 25,4.57872089,0.7272727273,0.8946802225,0.8109764749,0.7862297393,1,1,1
1,3,3,3,9,2,4,5,5,4,3,1000,42,3,22,M,12 to 17,3.89097488,0.4545454545,0.72274372,0.5886445873,0.4809038614,1,1,1
1,3,3,3,9,3,5,5,4,4,4,1000,44,4,23,F,12 to 17,4.06504233,0.5151515152,0.7662605825,0.6407060488,0.5523992803,1,1,1
1,3,3,3,9,2,2,4,3,4,3,1000,46,4,24,F,18 to 25,3.34113823,0.5757575758,0.5852845575,0.5805210666,0.4697479219,1,1,1
2,3,3,2,8,2,5,5,3,3,4,1000,44,5,1,F,18 to 25,3.33584727,0.5151515152,0.5839618175,0.5495566663,0.4272248596,1,1,0.5
2,3,3,2,8,5,5,5,5,5,5,1000,47,5,2,F,18 to 25,5,0.6060606061,1,0.803030303,0.775317351,1,1,0.5
2,3,3,2,8,4,4,5,5,5,4,1000,44,3,3,M,18 to 25,4.70232672,0.5151515152,0.92558168,0.7203665976,0.661796215,1,1,0.5
2,3,3,2,8,5,4,3,4,4,4,979,44,3,4,F,12 to 17,4.02686834,0.5151515152,0.756717085,0.6359343001,0.5458462915,1,1,0.5
2,3,3,2,8,2,3,4,4,3,3,1000,46,4,5,M,18 to 25,3.09673749,0.5757575758,0.5241843725,0.5499709741,0.4277938239,1,1,0.5
2,3,3,2,8,1,3,3,4,3,3,1000,43,4,6,F,18 to 25,2.83226185,0.4848484848,0.4580654625,0.4714569737,0.319971431,1,1,0.5
2,3,3,2,8,1,3,3,5,4,4,1000,45,4,7,F,18 to 25,3.47587554,0.5454545455,0.618968885,0.5822117152,0.4720696706,1,1,0.5
2,3,3,2,8,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,5,0.4848484848,1,0.7424242424,0.6920877303,1,1,0.5
2,3,3,2,8,4,5,5,5,5,5,864,46,5,9,F,18 to 25,4.85432801,0.5757575758,0.9635820025,0.7696697891,0.7295037329,1,1,0.5
2,3,3,2,8,3,3,4,4,4,4,1000,42,4,10,F,12 to 17,3.76241734,0.4545454545,0.690604335,0.5725748948,0.4588355336,1,1,0.5
2,3,3,2,8,4,5,5,4,5,5,1000,43,2,11,M,18 to 25,4.73072218,0.4848484848,0.932680545,0.7087645149,0.6458632055,1,1,0.5
2,3,3,2,8,3,3,3,2,3,3,1000,41,4,12,M,18 to 25,2.87639417,0.4242424242,0.4690985425,0.4466704834,0.285932423,1,1,0.5
2,3,3,2,8,5,5,5,5,5,5,1000,41,5,13,M,18 to 25,5,0.4242424242,1,0.7121212121,0.65047292,1,1,0.5
2,3,3,2,8,4,5,4,5,5,5,1000,43,5,14,F,18 to 25,4.73552436,0.4848484848,0.93388109,0.7093647874,0.646687553,1,1,0.5
2,3,3,2,8,5,5,4,5,5,5,1000,42,3,15,F,18 to 25,4.88119635,0.4545454545,0.9702990875,0.712422271,0.6508863608,1,1,0.5
2,3,3,2,8,5,4,4,5,4,4,1000,35,4,16,F,18 to 25,4.26927782,0.2424242424,0.817319455,0.5298718487,0.4001919212,1,1,0.5
2,3,3,2,8,5,5,4,5,5,5,1000,38,3,17,M,18 to 25,4.88119635,0.3333333333,0.9702990875,0.6518162104,0.5676567402,1,1,0.5
2,3,3,2,8,3,4,4,4,4,4,1000,32,3,18,F,18 to 25,3.85432801,0.1515151515,0.7135820025,0.432548577,0.266538968,1,1,0.5
2,3,3,2,8,5,5,5,5,4,5,361,41,2,19,F,18 to 25,4.54008276,0.4242424242,0.88502069,0.6546315571,0.5715230241,1,1,0.5
2,3,3,2,8,5,4,4,5,4,5,820,44,1,20,F,18 to 25,4.32936844,0.5151515152,0.83234211,0.6737468126,0.5977737892,1,1,0.5
2,3,3,2,8,4,4,5,4,5,4,1000,43,3,21,F,18 to 25,4.57872089,0.4848484848,0.8946802225,0.6897643537,0.619770498,1,1,0.5
2,3,3,2,8,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,3.65336758,0.5151515152,0.663341895,0.5892467051,0.481730743,1,1,0.5
2,3,3,2,8,4,3,3,4,3,4,800,44,4,23,F,12 to 17,3.32936844,0.5151515152,0.58234211,0.5487468126,0.4261126966,1,1,0.5
2,3,3,2,8,2,3,3,3,5,3,1000,40,4,24,F,18 to 25,3.77416249,0.3939393939,0.6935406225,0.5437400082,0.4192369085,1,1,0.5
3,2,2,1,5,2,5,5,4,3,4,1000,44,5,1,F,18 to 25,3.4594531,0.5151515152,0.614863275,0.5650073951,0.4484431714,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,1000,46,5,2,F,18 to 25,5,0.5757575758,1,0.7878787879,0.7545099458,0.5,0.5,0
3,2,2,1,5,4,4,4,5,5,4,1000,46,3,3,M,18 to 25,4.58352307,0.5757575758,0.8958807675,0.7358191716,0.683017061,0.5,0.5,0
3,2,2,1,5,1,2,3,1,1,1,323,41,3,4,F,12 to 17,1.32951797,0.4242424242,0.0823794925,0.2533109584,0.02039396436,0.5,0.5,0
3,2,2,1,5,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,4.39441077,0.5151515152,0.8486026925,0.6818771038,0.6089390266,0.5,0.5,0
3,2,2,1,5,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,3.12360583,0.4242424242,0.5309014575,0.4775719409,0.3283690466,0.5,0.5,0
3,2,2,1,5,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,3.76721952,0.4848484848,0.69180488,0.5883266824,0.4804672862,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,0.7727272727,0.7337025407,0.5,0.5,0
3,2,2,1,5,4,5,5,5,5,5,324,45,5,9,F,18 to 25,4.85432801,0.5454545455,0.9635820025,0.754518274,0.7086963277,0.5,0.5,0
3,2,2,1,5,5,4,3,4,5,4,1000,42,4,10,F,12 to 17,4.48678558,0.4545454545,0.871696395,0.6631209248,0.5831813771,0.5,0.5,0
3,2,2,1,5,5,4,4,5,4,5,1000,44,2,11,M,18 to 25,4.32936844,0.5151515152,0.83234211,0.6737468126,0.5977737892,0.5,0.5,0
3,2,2,1,5,4,4,3,2,3,3,1000,43,4,12,M,18 to 25,3.11397683,0.4848484848,0.5284942075,0.5066713462,0.3683309323,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,5,1000,37,5,13,M,18 to 25,5,0.303030303,1,0.6515151515,0.5672432994,0.5,0.5,0
3,2,2,1,5,5,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.78928568,0.4545454545,0.94732142,0.7009334373,0.6351088748,0.5,0.5,0
