LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
1,3,3,3,3,5,5,5,4,4,1000,43,5,1,F,A,4.333333333,0.44,0.8333333333,0.6366666667,1,1,1
1,3,3,3,5,5,5,5,5,5,1000,45,5,2,F,A,5,0.52,1,0.76,1,1,1
1,3,3,3,1,3,5,5,5,4,1000,45,3,3,M,A,3.833333333,0.52,0.7083333333,0.6141666667,1,1,1
1,3,3,3,5,4,4,5,4,5,1000,46,3,4,F,T,4.5,0.56,0.875,0.7175,1,1,1
1,3,3,3,3,5,5,5,3,4,1000,46,4,5,M,A,4.166666667,0.56,0.7916666667,0.6758333333,1,1,1
2,3,3,2,2,5,5,3,3,4,1000,44,5,1,F,A,3.666666667,0.48,0.6666666667,0.5733333333,1,1,0.5
2,3,3,2,5,5,5,5,5,5,1000,47,5,2,F,A,5,0.6,1,0.8,1,1,0.5
2,3,3,2,4,4,5,5,5,4,1000,44,3,3,M,A,4.5,0.48,0.875,0.6775,1,1,0.5
2,3,3,2,5,4,3,4,4,4,979,44,3,4,F,T,4,0.48,0.75,0.615,1,1,0.5
2,3,3,2,2,3,4,4,3,3,1000,46,4,5,M,A,3.166666667,0.56,0.5416666667,0.5508333333,1,1,0.5
3,2,2,1,2,5,5,4,3,4,1000,44,5,1,F,A,3.833333333,0.48,0.7083333333,0.5941666667,0.5,0.5,0
3,2,2,1,5,5,5,5,5,5,1000,46,5,2,F,A,5,0.56,1,0.78,0.5,0.5,0
3,2,2,1,4,4,4,5,5,4,1000,46,3,3,M,A,4.333333333,0.56,0.8333333333,0.6966666667,0.5,0.5,0
3,2,2,1,1,2,3,1,1,1,323,41,3,4,F,T,1.5,0.36,0.125,0.2425,0.5,0.5,0
3,2,2,1,4,5,5,5,4,5,1000,44,4,5,M,A,4.666666667,0.48,0.9166666667,0.6983333333,0.5,0.5,0
4,1,1,2,1,5,5,2,3,3,1000,56,5,1,F,A,3.166666667,0.96,0.5416666667,0.7508333333,0,0,0.5
4,1,1,2,5,4,4,5,5,5,1000,53,5,2,F,A,4.666666667,0.84,0.9166666667,0.8783333333,0,0,0.5
4,1,1,2,1,4,4,4,5,4,1000,53,3,3,M,A,3.666666667,0.84,0.6666666667,0.7533333333,0,0,0.5
4,1,1,2,2,3,3,4,3,4,1000,51,3,4,F,T,3.166666667,0.76,0.5416666667,0.6508333333,0,0,0.5
4,1,1,2,1,2,2,2,2,2,1000,57,4,5,M,A,1.833333333,1,0.2083333333,0.6041666667,0,0,0.5
5,3,2,1,5,5,1,5,5,5,1000,44,5,1,F,A,4.333333333,0.48,0.8333333333,0.6566666667,1,0.5,0
5,3,2,1,4,5,5,4,5,5,1000,43,5,2,F,A,4.666666667,0.44,0.9166666667,0.6783333333,1,0.5,0
5,3,2,1,3,5,4,4,5,4,1000,43,3,3,M,A,4.166666667,0.44,0.7916666667,0.6158333333,1,0.5,0
5,3,2,1,5,4,3,4,4,5,1000,44,3,4,F,T,4.166666667,0.48,0.7916666667,0.6358333333,1,0.5,0
5,3,2,1,3,2,1,1,2,1,1000,44,4,5,M,A,1.666666667,0.48,0.1666666667,0.3233333333,1,0.5,0
6,1,2,3,2,5,3,4,3,3,1000,44,5,1,F,A,3.333333333,0.48,0.5833333333,0.5316666667,0,0.5,1
6,1,2,3,3,4,5,3,5,4,1000,43,5,2,F,A,4,0.44,0.75,0.595,0,0.5,1
6,1,2,3,1,3,4,5,5,4,1000,43,3,3,M,A,3.666666667,0.44,0.6666666667,0.5533333333,0,0.5,1
6,1,2,3,2,4,3,4,4,4,1000,44,3,4,F,T,3.5,0.48,0.625,0.5525,0,0.5,1
6,1,2,3,1,3,3,3,2,2,1000,45,4,5,M,A,2.333333333,0.52,0.3333333333,0.4266666667,0,0.5,1
7,1,1,3,1,5,5,3,3,4,1000,57,5,1,F,A,3.5,1,0.625,0.8125,0,0,1
7,1,1,3,3,4,5,4,5,4,1000,53,5,2,F,A,4.166666667,0.84,0.7916666667,0.8158333333,0,0,1
7,1,1,3,1,5,5,5,5,5,1000,53,3,3,M,A,4.333333333,0.84,0.8333333333,0.8366666667,0,0,1
