LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG
1,3,3,3,3,5,5,5,4,4,1000,43,5,1,F,A
1,3,3,3,5,5,5,5,5,5,1000,45,5,2,F,A
1,3,3,3,1,3,5,5,5,4,1000,45,3,3,M,A
1,3,3,3,5,4,4,5,4,5,1000,46,3,4,F,T
1,3,3,3,3,5,5,5,3,4,1000,46,4,5,M,A
2,3,3,2,2,5,5,3,3,4,1000,44,5,1,F,A
2,3,3,2,5,5,5,5,5,5,1000,47,5,2,F,A
2,3,3,2,4,4,5,5,5,4,1000,44,3,3,M,A
2,3,3,2,5,4,3,4,4,4,979,44,3,4,F,T
2,3,3,2,2,3,4,4,3,3,1000,46,4,5,M,A
3,2,2,1,2,5,5,4,3,4,1000,44,5,1,F,A
3,2,2,1,5,5,5,5,5,5,1000,46,5,2,F,A
3,2,2,1,4,4,4,5,5,4,1000,46,3,3,M,A
3,2,2,1,1,2,3,1,1,1,323,41,3,4,F,T
3,2,2,1,4,5,5,5,4,5,1000,44,4,5,M,A
4,1,1,2,1,5,5,2,3,3,1000,56,5,1,F,A
4,1,1,2,5,4,4,5,5,5,1000,53,5,2,F,A
4,1,1,2,1,4,4,4,5,4,1000,53,3,3,M,A
4,1,1,2,2,3,3,4,3,4,1000,51,3,4,F,T
4,1,1,2,1,2,2,2,2,2,1000,57,4,5,M,A
5,3,2,1,5,5,1,5,5,5,1000,44,5,1,F,A
5,3,2,1,4,5,5,4,5,5,1000,43,5,2,F,A
5,3,2,1,3,5,4,4,5,4,1000,43,3,3,M,A
5,3,2,1,5,4,3,4,4,5,1000,44,3,4,F,T
5,3,2,1,3,2,1,1,2,1,1000,44,4,5,M,A
6,1,2,3,2,5,3,4,3,3,1000,44,5,1,F,A
6,1,2,3,3,4,5,3,5,4,1000,43,5,2,F,A
6,1,2,3,1,3,4,5,5,4,1000,43,3,3,M,A
6,1,2,3,2,4,3,4,4,4,1000,44,3,4,F,T
6,1,2,3,1,3,3,3,2,2,1000,45,4,5,M,A
7,1,1,3,1,5,5,3,3,4,1000,57,5,1,F,A
7,1,1,3,3,4,5,4,5,4,1000,53,5,2,F,A
7,1,1,3,1,5,5,5,5,5,1000,53,3,3,M,A
7,1,1,3,2,4,4,4,4,4,1000,51,3,4,F,T
7,1,1,3,1,2,1,1,1,1,1000,53,4,5,M,A
8,1,2,2,1,5,5,4,4,3,1000,47,5,1,F,A
8,1,2,2,1,5,4,5,4,4,464,45,5,2,F,A
8,1,2,2,1,3,3,4,5,4,1000,42,3,3,M,A
8,1,2,2,2,4,4,4,4,4,1000,43,3,4,F,T
8,1,2,2,1,5,5,4,4,4,1000,42,4,5,M,A
9,2,3,3,5,4,5,5,5,5,1000,46,5,1,F,A
9,2,3,3,5,5,5,5,5,1,1000,47,5,2,F,A
9,2,3,3,4,4,4,5,5,4,1000,40,3,3,M,A
9,2,3,3,1,2,3,2,1,1,1000,44,3,4,F,T
9,2,3,3,5,5,5,5,5,5,1000,44,4,5,M,A
10,3,3,1,2,5,5,4,4,4,699,43,5,1,F,A
10,3,3,1,4,5,5,5,5,5,1000,50,5,2,F,A
10,3,3,1,2,5,5,5,5,5,1000,40,3,3,M,A
